id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-184315,2025-01-02,000001,Vente,79000,9,,RUE ORIGET,3690,37000,37261,Tours,37,,,37261000DT0128,,,3,25.71,,,,,,,,,1,2,Appartement,26,1,,,,,,0.689071,47.387228
2025-184316,2025-01-03,000001,Vente,55000,6,,RUE CHARLES DE FOUCAULD,0940,37200,37261,Tours,37,,,37261000DE0222,,,238,22.92,,,,,,,,,1,2,Appartement,22,1,,,,,,0.709777,47.361814
2025-184322,2025-01-03,000001,Vente,143000,11,,QUAI PAUL BERT,3800,37100,37261,Tours,37,,,37261000BZ0096,,,2,,29,50.8,,,,,,,2,2,Appartement,51,1,,,,,,0.687556,47.401793
2025-184322,2025-01-03,000001,Vente,143000,11,,QUAI PAUL BERT,3800,37100,37261,Tours,37,,,37261000BZ0096,,,2,,29,50.8,,,,,,,2,3,Dépendance,,0,,,,,,0.687556,47.401793
2025-184322,2025-01-03,000001,Vente,143000,11,,QUAI PAUL BERT,3800,37100,37261,Tours,37,,,37261000BZ0096,,,72,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.687556,47.401793
2025-184323,2025-01-06,000001,Vente,140000,14,,AV JEAN PORTALIS,2736,37200,37261,Tours,37,,,37261000DN0136,,,55,39.44,,,,,,,,,1,2,Appartement,39,2,,,,,,0.686447,47.369007
2025-184323,2025-01-06,000001,Vente,140000,14,,AV JEAN PORTALIS,2736,37200,37261,Tours,37,,,37261000DN0136,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.686447,47.369007
2025-184337,2025-01-08,000001,Vente,169000,104,,RUE DE L ERMITAGE,1690,37100,37261,Tours,37,,,37261000AR0283,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,92,0.699607,47.403675
2025-184337,2025-01-08,000001,Vente,169000,104,,RUE DE L ERMITAGE,1690,37100,37261,Tours,37,,,37261000AR0283,,,,,,,,,,,,,0,1,Maison,55,3,S,sols,,,92,0.699607,47.403675
2025-184343,2025-01-03,000001,Vente,65000,6,,PL DU GENERAL LECLERC,2150,37000,37261,Tours,37,,,37261000CM0566,,,5,15.76,,,,,,,,,1,2,Appartement,16,1,,,,,,0.694099,47.390592
2025-184346,2025-01-06,000001,Vente,125000,95,,RUE LAKANAL,2950,37000,37261,Tours,37,,,37261000ES0679,,,10,45.6,,,,,,,,,1,2,Appartement,59,3,,,,,,0.682032,47.382566
2025-184346,2025-01-06,000001,Vente,125000,95,,RUE LAKANAL,2950,37000,37261,Tours,37,,,37261000ES0679,,,1,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.682032,47.382566
2025-184347,2025-01-09,000001,Vente,66500,6,,RUE CHARLES DE FOUCAULD,0940,37200,37261,Tours,37,,,37261000DE0222,,,229,20.41,,,,,,,,,1,2,Appartement,23,1,,,,,,0.709777,47.361814
2025-184352,2025-01-13,000001,Vente,122000,13,,RUE DU REMPART,4280,37000,37261,Tours,37,,,37261000CM0734,,,17,47.8,,,,,,,,,1,2,Appartement,47,2,,,,,,0.695284,47.390154
2025-184352,2025-01-13,000001,Vente,122000,9,,RUE DU REMPART,4280,37000,37261,Tours,37,,,37261000CM0734,,,68,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.695284,47.390154
2025-184360,2025-01-08,000001,Vente,68800,75,B,RUE DE LA CHEVALERIE,1050,37100,37261,Tours,37,,,37261000BO0297,,,141,,280,31.12,,,,,,,2,3,Dépendance,,0,,,,,,0.679811,47.418318
2025-184360,2025-01-08,000001,Vente,68800,75,B,RUE DE LA CHEVALERIE,1050,37100,37261,Tours,37,,,37261000BO0297,,,141,,280,31.12,,,,,,,2,2,Appartement,32,1,,,,,,0.679811,47.418318
2025-184361,2025-01-09,000001,Vente en l'état futur d'achèvement,206000,6,,RUE DE BELGIQUE,0476,37100,37261,Tours,37,,,37261000BS0009,,,146,,,,,,,,,,1,,,,,,,,,,0.695461,47.425397
2025-184361,2025-01-09,000001,Vente en l'état futur d'achèvement,206000,6,,RUE DE BELGIQUE,0476,37100,37261,Tours,37,,,37261000BS0009,,,112,59.16,,,,,,,,,1,,,,,,,,,,0.695461,47.425397
2025-184370,2025-01-07,000001,Vente,130000,17,,RUE D ANVERS,0249,37100,37261,Tours,37,,,37261000BM0100,,,46,78.72,,,,,,,,,1,2,Appartement,78,4,,,,,,0.682451,47.427088
2025-184371,2025-01-10,000001,Vente,135000,8,,RUE CHAMPLAIN,0882,37200,37261,Tours,37,,,37261000CZ0455,,,301,,313,62.1,,,,,,,2,2,Appartement,62,3,,,,,,,
2025-184371,2025-01-10,000001,Vente,135000,9001,,PLCI CHAMPLAIN,0881,37200,37261,Tours,37,,,37261000CZ0455,,,1156,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2025-184371,2025-01-10,000001,Vente,135000,8,,RUE CHAMPLAIN,0882,37200,37261,Tours,37,,,37261000CZ0455,,,301,,313,62.1,,,,,,,2,3,Dépendance,,0,,,,,,,
2025-184374,2025-01-10,000001,Vente,130000,4,,ALL PISSARO,3983,37100,37261,Tours,37,,,37261000BX0241,,,24,,49,56.79,,,,,,,2,2,Appartement,56,3,,,,,,0.680813,47.4163
2025-184374,2025-01-10,000001,Vente,130000,4,,ALL PISSARO,3983,37100,37261,Tours,37,,,37261000BX0241,,,24,,49,56.79,,,,,,,2,3,Dépendance,,0,,,,,,0.680813,47.4163
2025-184379,2025-01-14,000001,Vente,162300,90,,RUE MARCEL TRIBUT,3316,37000,37261,Tours,37,,,37261000CM0052,,,107,,129,47.13,,,,,,,2,2,Appartement,47,2,,,,,,0.700919,47.389743
2025-184379,2025-01-14,000001,Vente,162300,96,,RUE MARCEL TRIBUT,3316,37000,37261,Tours,37,,,37261000CM0052,,,100,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.700919,47.389743
2025-184379,2025-01-14,000001,Vente,162300,90,,RUE MARCEL TRIBUT,3316,37000,37261,Tours,37,,,37261000CM0052,,,107,,129,47.13,,,,,,,2,3,Dépendance,,0,,,,,,0.700919,47.389743
2025-184380,2025-01-06,000001,Vente,130416,67,,AV JEAN PORTALIS,2736,37200,37261,Tours,37,,,37261000HL0467,,,229,44.3,,,,,,,,,1,2,Appartement,46,2,,,,,,0.682771,47.364796
2025-184380,2025-01-06,000001,Vente,130416,67,,AV JEAN PORTALIS,2736,37200,37261,Tours,37,,,37261000HL0467,,,284,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.682771,47.364796
2025-184382,2025-01-10,000001,Vente,114000,322,,RUE VICTOR HUGO,4950,37000,37261,Tours,37,,,37261000ER0031,,,2,,8,42.35,,,,,,,2,2,Appartement,42,2,,,,,,0.669878,47.385217
2025-184382,2025-01-10,000001,Vente,114000,322,,RUE VICTOR HUGO,4950,37000,37261,Tours,37,,,37261000ER0031,,,2,,8,42.35,,,,,,,2,3,Dépendance,,0,,,,,,0.669878,47.385217
