id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-460159,2024-11-08,000001,Vente,106000,3,,RUE JEAN LURCAT,2705,37100,37261,Tours,37,,,37261000AO0155,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.704744,47.410833
2024-460161,2024-11-12,000001,Vente,86000,11,,RUE DES LYS,3238,37100,37261,Tours,37,,,37261000AT0181,,,111,65.19,36,,,,,,,,2,3,Dépendance,,0,,,,,,0.700971,47.416068
2024-460161,2024-11-12,000001,Vente,86000,11,,RUE DES LYS,3238,37100,37261,Tours,37,,,37261000AT0181,,,111,65.19,36,,,,,,,,2,2,Appartement,64,4,,,,,,0.700971,47.416068
2024-460172,2024-11-08,000001,Vente,346200,15,,RUE ALLERON,0150,37000,37261,Tours,37,,,37261000EM0058,,,202,,6,84.95,,,,,,,2,2,Appartement,79,4,,,,,,0.675616,47.394488
2024-460172,2024-11-08,000001,Vente,346200,15,,RUE ALLERON,0150,37000,37261,Tours,37,,,37261000EM0058,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.675616,47.394488
2024-460172,2024-11-08,000001,Vente,346200,15,,RUE ALLERON,0150,37000,37261,Tours,37,,,37261000EM0058,,,202,,6,84.95,,,,,,,2,3,Dépendance,,0,,,,,,0.675616,47.394488
2024-460180,2024-11-06,000001,Vente,190000,58,,RUE DU GRAND MARCHE,2340,37000,37261,Tours,37,,,37261000EH0015,,,103,87.04,109,,110,,114,,118,,6,4,Local industriel. commercial ou assimilé,82,0,,,,,,0.6795,47.394076
2024-460183,2024-11-08,000001,Vente en l'état futur d'achèvement,175051,,,,,,37261,Tours,37,,,37261000BH0109,,,1052,,,,,,,,,,1,,,,,,,,,,0.695739,47.435195
2024-460183,2024-11-08,000001,Vente en l'état futur d'achèvement,175051,,,,,,37261,Tours,37,,,37261000BH0109,,,1017,,,,,,,,,,1,,,,,,,,,,0.695739,47.435195
2024-460191,2024-11-07,000001,Vente,137000,15,,ALL DES AULNES,0335,37000,37261,Tours,37,,,37261000DR1019,,,274,72.87,455,,,,,,,,2,2,Appartement,69,4,,,,,,0.68108,47.377486
