id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-502344,2023-01-03,000001,Vente,100600,1,,ALL VINCENT SCOTTO,4984,37100,37261,Tours,37,,,37261000BY0636,,,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.67989,47.408701
2023-502344,2023-01-03,000001,Vente,100600,3,,ALL VINCENT SCOTTO,4984,37100,37261,Tours,37,,,37261000BY0636,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,0.67989,47.408701
2023-502344,2023-01-03,000001,Vente,100600,5,,ALL VINCENT SCOTTO,4984,37100,37261,Tours,37,,,37261000BY0636,,,85,68.44,,,,,,,,,1,2,Appartement,70,4,,,,,,0.67989,47.408701
2023-502347,2023-01-03,000001,Vente,1275000,25,,RUE AUGUSTE COMTE,0330,37000,37261,Tours,37,,,37261000CO0157,,,,,,,,,,,,,0,1,Maison,41,3,S,sols,,,377,0.691502,47.387355
2023-502347,2023-01-03,000001,Vente,1275000,25,,RUE AUGUSTE COMTE,0330,37000,37261,Tours,37,,,37261000CO0157,,,,,,,,,,,,,0,1,Maison,250,10,S,sols,,,377,0.691502,47.387355
2023-502353,2023-01-06,000001,Vente,210000,7,,RUE DE LA SERPE,4620,37000,37261,Tours,37,,,37261000EH0379,,,17,42.69,18,,,,,,,,2,2,Appartement,41,2,,,,,,0.68009,47.393293
2023-502361,2023-01-05,000001,Vente en l'état futur d'achèvement,105840,,,SAINT SAUVEUR,B074,37200,37261,Tours,37,,,37261000DN0368,,,250,,,,,,,,,,1,,,,,,,,,,0.677347,47.368918
2023-502366,2023-01-09,000001,Vente en l'état futur d'achèvement,105840,,,SAINT SAUVEUR,B074,37200,37261,Tours,37,,,37261000DN0368,,,246,,,,,,,,,,1,,,,,,,,,,0.677347,47.368918
2023-502368,2023-01-03,000001,Vente,149000,70,,AV DE GRAMMONT,2300,37000,37261,Tours,37,,,37261000CR0006,,,4,45.04,,,,,,,,,1,2,Appartement,40,2,,,,,,0.691757,47.384414
2023-502382,2023-01-03,000001,Vente,20000,20,,RUE GAMBETTA,2060,37000,37261,Tours,37,,,37261000DW0021,,,46,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,0.686694,47.391685
